ID,DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,Latitude,Longitude,PREP_TIME
1,$1 PIZZA,Manhattan,6 AVENUE,10001,9175878888,Pizza,40.74651011,-73.99015829,2
2,1.5 DAK GALBI,Queens,NORTHERN BLVD,11358,9172852772,Korean,40.76344841,-73.80718384,4
3,101 WILSON BAR,Brooklyn,WILSON AVENUE,11237,6502832056,American,40.7014979,-73.92711902,1
4,18 HIPOT,Brooklyn,18 AVENUE,11214,9179334888,Chinese,40.60902749,-74.000461,4
5,2 BROS PIZZA,Manhattan,WEST   38 STREET,10018,212_239111,Pizza,40.75487354,-73.99206284,0
6,2 BROS PIZZA,Manhattan,8 AVENUE,10001,9173749161,Pizza,40.74625525,-73.99776965,3
7,21 GRAMS,Queens,COLLEGE POINT BLVD,11356,9293919357,Bakery Products/Desserts,40.77973416,-73.84605732,1
8,234 CHINA CITY,Brooklyn,KINGS HIGHWAY,11223,7187144272,Chinese,40.60538379,-73.98224905,2
9,2522 MOMBAR,Queens,STEINWAY ST,11103,7187262356,Egyptian,40.76757027,-73.91200663,2
10,369 BBQ,Queens,KISSENA BLVD,11355,7186120923,Asian/Asian Fusion,40.75014948,-73.81863835,2
11,39 KINGS,Queens,PRINCE STREET,11354,7189393330,Chinese,40.75953533,-73.83225376,4
12,3rd & 7,Brooklyn,QUENTIN ROAD,11234,7183366300,American,40.61477672,-73.93656804,4
13,876 CROWN,Queens,GUY R BREWER BLVD,11433,9172932703,Caribbean,40.69620333,-73.79099942,5
14,98K,Brooklyn,BAY   25 STREET,11214,7183331088,Chicken,40.60376023,-73.99793649,1
15,99¢ HOT PIZZA,Brooklyn,LIVINGSTON STREET,11217,7188021942,Pizza,40.68873746,-73.98343834,1
16,99C PIZZA,Manhattan,EAST   14 STREET,10003,6466109092,Pizza,40.73282704,-73.98611548,1
17,99C PIZZA,Manhattan,EAST HOUSTON STREET,10002,6466373776,Pizza,40.72278693,-73.98820644,3
18,9Tails,Manhattan,WEST  126 STREET,10027,9082655695,Coffee/Tea,40.80758362,-73.94297967,2
19,A BAR,Brooklyn,MANHATTAN AVENUE,11222,6469427210,Bottled Beverages,40.72306226,-73.95039396,1
20,A.W.O.L. BAR & GRILL,Manhattan,3 AVENUE,10010,6466829405,American,40.73996291,-73.98230688,1
21,AAHAR,Manhattan,MURRAY STREET,10007,6466493374,Indian,40.71329037,-74.00777347,2
22,ABYS BAR,Queens,SENECA AVENUE,11385,7185843333,Spanish,40.70310646,-73.90818246,4
23,ADALYA,Manhattan,IRVING PLACE,10003,6468961441,Mediterranean,40.73609893,-73.98723341,2
24,AFGHAN CHAI KHANA,Queens,31ST ST,11105,7187215020,Afghan,40.77405708,-73.91324725,3
25,AGRA TAJ MAHAL,Brooklyn,MANHATTAN AVENUE,11222,7183892200,Indian,40.73335421,-73.95479197,1
26,AKINO,Queens,BROADWAY,11373,7187798280,Japanese,40.74149406,-73.88056236,3
27,Al Bait Baitak,Brooklyn,4 AVENUE,11209,7186665436,Egyptian,40.63437588,-74.02362781,2
28,AL DI LA TRATTORI,Brooklyn,5 AVENUE,11215,7187834565,Italian,40.67523832,-73.98127143,4
29,AL VOLO,Queens,JACKSON AVE,11101,9295107004,Italian,40.7484265,-73.93876816,3
30,ALADDIN,Queens,36 AVENUE,11106,7187842554,Indian,40.75724662,-73.93120158,1
31,ALASKA KING CRAB,Brooklyn,FLATLANDS AVENUE,11236,7185695155,Seafood,40.63981062,-73.90663404,4
32,ALASKA KING CRAB,Brooklyn,SURF AVENUE,11224,7183738888,Seafood,40.57285658,-73.99512619,1
33,ALBA'S PIZZA,Queens,DITMARS BOULEVARD,11105,7189325924,Pizza,40.77419846,-73.90799018,2
34,ALBION,Manhattan,2 AVENUE,10016,9174005280,American,40.74320352,-73.97696138,2
35,ALI ROTI SHOP,Bronx,WHITE PLAINS ROAD,10466,7186552178,Caribbean,40.89399817,-73.85702979,1
36,ALI ROTI SHOP,Brooklyn,FLATBUSH AVENUE,11226,6465759366,Caribbean,40.65242074,-73.95920411,5
37,ALIADA,Queens,BROADWAY,11106,7189322240,Greek,40.7626236,-73.92675948,2
38,ALIDORO,Manhattan,EAST   39 STREET,10016,6466924330,Italian,40.7510845,-73.98114175,4
39,ALIDORO,Manhattan,ROCKEFELLER PLAZA,10020,6466924330,Sandwiches/Salads/Mixed Buffet,40.75789667,-73.97928808,4
40,ALITA,Brooklyn,GRAND STREET,11211,9176787809,Coffee/Tea,40.71188681,-73.9414098,1
41,ALMA,Brooklyn,COLUMBIA STREET,11231,7186435400,Mexican,40.68562057,-74.00239778,5
42,ALMAR,Brooklyn,FRONT STREET,11201,7188555288,American,40.70250316,-73.98897464,4
43,AL-NAIMAT,Queens,74TH ST,11372,7184761100,Indian,40.74859765,-73.89176306,4
44,ALOHA BROOKLYN GRILL,Brooklyn,FULTON STREET,11208,6465457779,Hawaiian,40.68252893,-73.87613986,5
45,ALOHA KRAB,Queens,LINDEN BLVD,11412,7185250888,Caribbean,40.69462064,-73.75162131,0
46,ALOHA NYC BAR,Queens,ASTORIA BLVD,11103,6093183500,American,40.76912164,-73.9127591,4
47,ALTA CALIDAD,Brooklyn,VANDERBILT AVENUE,11238,7186221111,Mexican,40.68006894,-73.96800588,2
48,ALTAR,Brooklyn,STERLING PLACE,11238,7184843571,Tapas,40.67335723,-73.95734909,2
49,AM THAI BISTRO,Brooklyn,CHURCH AVENUE,11218,7182878888,Other,40.64666282,-73.97016248,0
50,AM THAI BISTRO,Brooklyn,CHURCH AVENUE,11218,7182878888,Thai,40.64666282,-73.97016248,4
51,Amano Café,Manhattan,WEST    4 STREET,10014,5858883232,Coffee/Tea,40.73214168,-74.00151905,2
52,AMARANTO,Brooklyn,HART STREET,11237,7185766001,Tex-Mex,40.70287503,-73.921823,1
53,AMINA THAI,Queens,HILLSIDE AVENUE,11432,7188801804,Thai,40.71080594,-73.79272452,0
54,AMY THAI BISTRO,Brooklyn,FLATBUSH AVENUE,11225,7184621555,Thai,40.66063636,-73.96062998,2
