ID,DBA,BORO,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,LATIDUDE,LONGITUDE,PREP_TIME
1,$1 PIZZA,Manhattan,6 AVENUE,10001,9175878888,Pizza,40.74651011,-73.99015829,2
2,2 BROS PIZZA,Manhattan,WEST   38 STREET,10018,212_239111,Pizza,40.75487354,-73.99206284,0
3,2 BROS PIZZA,Manhattan,8 AVENUE,10001,9173749161,Pizza,40.74625525,-73.99776965,3
4,99C PIZZA,Manhattan,EAST   14 STREET,10003,6466109092,Pizza,40.73282704,-73.98611548,1
5,99C PIZZA,Manhattan,EAST HOUSTON STREET,10002,6466373776,Pizza,40.72278693,-73.98820644,3
6,9Tails,Manhattan,WEST  126 STREET,10027,9082655695,Coffee/Tea,40.80758362,-73.94297967,2
7,A.W.O.L. BAR & GRILL,Manhattan,3 AVENUE,10010,6466829405,American,40.73996291,-73.98230688,1
8,AAHAR,Manhattan,MURRAY STREET,10007,6466493374,Indian,40.71329037,-74.00777347,2
9,ADALYA,Manhattan,IRVING PLACE,10003,6468961441,Mediterranean,40.73609893,-73.98723341,2
10,ALBION,Manhattan,2 AVENUE,10016,9174005280,American,40.74320352,-73.97696138,2
11,ALIDORO,Manhattan,EAST   39 STREET,10016,6466924330,Italian,40.7510845,-73.98114175,4
12,ALIDORO,Manhattan,ROCKEFELLER PLAZA,10020,6466924330,Sandwiches/Salads/Mixed Buffet,40.75789667,-73.97928808,4
13,Amano Café,Manhattan,WEST    4 STREET,10014,5858883232,Coffee/Tea,40.73214168,-74.00151905,2
14,ARDYN,Manhattan,WEST    8 STREET,10011,9144177973,American,40.73304745,-73.99821752,3
15,ARICCIA,Manhattan,BEDFORD STREET,10014,6463746202,Coffee/Tea,40.72907299,-74.00349258,4
16,AROQA,Manhattan,9 AVENUE,10011,6466785471,Indian,40.74622506,-74.00150133,3
17,ASIA ROMA,Manhattan,MULBERRY STREET,10013,9177238102,American,40.71483045,-73.99961402,1
18,ATLA,Manhattan,LAFAYETTE STREET,10012,6468376464,Mexican,40.72713233,-73.99376549,2
19,ATOBOY,Manhattan,EAST   28 STREET,10016,6464767217,Asian/Asian Fusion,40.74378677,-73.98516767,2
20,ATOMIC WINGS,Manhattan,2 AVENUE,10022,6468337199,Chicken,40.75597815,-73.96770218,3
21,ATOMIX,Manhattan,EAST   30 STREET,10016,6466968901,Korean,40.74436283,-73.98274238,1
